,Date,Price,High,Low,Close,Volume,Adj Close
0,2013-11-13,11,11.25,9.5,9.68,17261600,9.68
1,2013-11-14,9.8,9.93,8.56,8.88,3125200,8.88
2,2013-11-15,9,9.6,8.82,9.13,1987500,9.13
3,2013-11-18,9.25,9.5,8.89,9,724600,9
4,2013-11-19,9,9.1,8.68,8.72,671800,8.72
5,2013-11-20,8.69,8.91,7.93,7.97,777400,7.97
6,2013-11-21,8.29,8.29,7.81,7.86,738900,7.86
7,2013-11-22,7.96,7.98,7.45,7.49,1239100,7.49
8,2013-11-25,7.37,7.89,7.31,7.72,894200,7.72
9,2013-11-26,7.76,8.47,7.73,8.15,1395400,8.15
10,2013-11-27,8.1,8.6,8.1,8.39,677900,8.39
11,2013-11-29,8.45,8.53,8.21,8.21,258800,8.21
12,2013-12-02,8.29,8.89,8.2,8.83,833600,8.83
13,2013-12-03,8.85,9.25,8.62,9.2,1089400,9.2
14,2013-12-04,9.08,9.51,8.85,9.44,842600,9.44
15,2013-12-05,9.28,9.66,9.28,9.49,615200,9.49
16,2013-12-06,9.7,9.8,9.23,9.57,455400,9.57
17,2013-12-09,9.66,9.68,8.84,8.89,1050900,8.89
18,2013-12-10,9.01,9.19,8.95,9,622000,9
19,2013-12-11,8.99,9.16,8.51,8.58,593000,8.58
20,2013-12-12,8.51,8.68,8,8.2,840400,8.2
21,2013-12-13,8.2,8.34,7.96,8.01,812700,8.01
22,2013-12-16,8.02,8.5,8.02,8.28,530200,8.28
23,2013-12-17,8.33,8.4,8.09,8.29,402000,8.29
24,2013-12-18,8.35,8.37,8.15,8.28,342300,8.28
25,2013-12-19,8.24,8.64,8.23,8.59,513100,8.59
26,2013-12-20,8.61,8.7,8.25,8.41,2072900,8.41
27,2013-12-23,8.42,8.58,8.25,8.36,536800,8.36
28,2013-12-24,8.39,8.5,8.25,8.31,417900,8.31
29,2013-12-26,8.4,8.48,8.22,8.33,239900,8.33
30,2013-12-27,8.32,8.4,8.3,8.35,121600,8.35
31,2013-12-30,8.4,8.75,8.34,8.64,403200,8.64
32,2013-12-31,8.69,8.9,8.45,8.51,643700,8.51
33,2014-01-02,8.52,8.64,8.21,8.31,549700,8.31
34,2014-01-03,8.32,8.5,8.13,8.21,419000,8.21
35,2014-01-06,8.24,8.5,8.18,8.26,671300,8.26
36,2014-01-07,8.27,8.49,8.18,8.22,872000,8.22
37,2014-01-08,8.29,8.29,7.75,7.78,1296300,7.78
38,2014-01-09,7.9,8,7.63,7.8,467800,7.8
39,2014-01-10,7.86,7.88,7.57,7.61,481800,7.61
40,2014-01-13,7.61,7.65,7.1,7.18,1164400,7.18
41,2014-01-14,7.25,7.29,7.16,7.21,513400,7.21
42,2014-01-15,7.25,7.3,7.1,7.18,747500,7.18
43,2014-01-16,7.15,7.27,7.05,7.23,738900,7.23
44,2014-01-17,7.23,7.35,7.15,7.25,580200,7.25
45,2014-01-21,7.34,7.39,7.21,7.25,571300,7.25
46,2014-01-22,7.28,7.29,7.11,7.25,446000,7.25
47,2014-01-23,7.25,7.29,7.16,7.23,352400,7.23
48,2014-01-24,7.19,7.25,7.11,7.21,331100,7.21
49,2014-01-27,7.2,7.29,6.86,6.9,688000,6.9
50,2014-01-28,6.9,7,6.77,6.98,702400,6.98
51,2014-01-29,7,7.01,6.64,6.74,707900,6.74
52,2014-01-30,6.8,6.95,6.71,6.75,345300,6.75
53,2014-01-31,6.71,6.78,6.65,6.67,458500,6.67
54,2014-02-03,6.64,6.91,6.32,6.9,1222100,6.9
55,2014-02-04,6.97,7.13,6.84,6.87,722000,6.87
56,2014-02-05,6.88,7.05,6.68,6.86,470500,6.86
57,2014-02-06,6.92,6.92,6.76,6.92,297500,6.92
58,2014-02-07,6.97,7.15,6.92,7.12,583000,7.12
59,2014-02-10,7.17,7.25,7.02,7.22,481500,7.22
60,2014-02-11,7.22,7.43,7.14,7.38,518000,7.38
61,2014-02-12,7.45,7.5,7.15,7.47,641900,7.47
62,2014-02-13,7.65,7.99,7.46,7.94,1935100,7.94
63,2014-02-14,6.97,7,6.08,6.17,4283400,6.17
64,2014-02-18,6.23,6.54,6.09,6.45,2116500,6.45
65,2014-02-19,6.5,6.71,6.38,6.47,658100,6.47
66,2014-02-20,6.51,6.64,6.4,6.56,363400,6.56
67,2014-02-21,6.64,6.64,6.34,6.4,343000,6.4
68,2014-02-24,6.65,6.65,6.45,6.56,474300,6.56
69,2014-02-25,6.58,6.58,6.39,6.43,330600,6.43
70,2014-02-26,6.47,6.57,6.35,6.36,650200,6.36
71,2014-02-27,6.37,6.46,6.35,6.37,435300,6.37
72,2014-02-28,6.42,6.54,6.28,6.3,918800,6.3
73,2014-03-03,6.27,6.45,6.25,6.35,256200,6.35
74,2014-03-04,6.4,6.45,6.31,6.39,259700,6.39
75,2014-03-05,6.37,6.41,6.32,6.35,208400,6.35
76,2014-03-06,6.33,6.4,6.23,6.29,331500,6.29
77,2014-03-07,6.3,6.39,6.23,6.38,493100,6.38
78,2014-03-10,6.39,6.43,6.26,6.37,216100,6.37
79,2014-03-11,6.4,6.48,6.3,6.37,248600,6.37
80,2014-03-12,6.4,6.46,6.25,6.42,275900,6.42
81,2014-03-13,6.57,6.78,6.52,6.56,720100,6.56
82,2014-03-14,6.51,6.64,6.48,6.53,173000,6.53
83,2014-03-17,6.53,6.88,6.53,6.88,388200,6.88
84,2014-03-18,6.85,6.97,6.75,6.92,450000,6.92
85,2014-03-19,6.93,7.19,6.9,7.04,563800,7.04
86,2014-03-20,7,7.08,6.9,7.08,293200,7.08
87,2014-03-21,7.09,7.19,6.96,7.19,627700,7.19
88,2014-03-24,7.15,7.25,6.86,7.16,1010400,7.16
89,2014-03-25,7.23,7.44,7.07,7.24,679600,7.24
90,2014-03-26,7.25,7.34,7.09,7.11,209300,7.11
91,2014-03-27,7.08,7.21,6.83,6.94,313500,6.94
92,2014-03-28,6.92,7.11,6.8,6.93,222700,6.93
93,2014-03-31,6.95,7.12,6.91,7,280300,7
94,2014-04-01,6.98,7.27,6.98,7.27,260200,7.27
95,2014-04-02,7.31,7.34,7.19,7.25,255100,7.25
96,2014-04-03,7.2,7.23,7.05,7.09,311900,7.09
97,2014-04-04,7.12,7.12,6.63,6.81,711200,6.81
98,2014-04-07,6.8,6.8,6.4,6.52,329700,6.52
99,2014-04-08,6.49,6.77,6.48,6.54,311800,6.54
100,2014-04-09,6.6,6.72,6.47,6.54,320900,6.54
101,2014-04-10,6.55,6.55,6.02,6.15,588500,6.15
102,2014-04-11,6.07,6.1,5.49,5.72,765100,5.72
103,2014-04-14,5.73,5.87,5.62,5.63,259000,5.63
104,2014-04-15,5.68,5.69,4.98,5.22,858900,5.22
105,2014-04-16,5.29,5.44,5.24,5.36,173300,5.36
106,2014-04-17,5.38,5.62,5.26,5.5,324500,5.5
107,2014-04-21,5.5,5.54,5.23,5.25,361500,5.25
108,2014-04-22,5.24,5.38,5.24,5.27,340800,5.27
109,2014-04-23,5.27,5.31,5.16,5.23,416200,5.23
110,2014-04-24,5.32,5.33,5.21,5.24,204200,5.24
111,2014-04-25,5.21,5.35,5.21,5.31,233000,5.31
112,2014-04-28,5.35,5.39,5.17,5.25,240000,5.25
113,2014-04-29,5.5,5.65,5.32,5.4,750700,5.4
114,2014-04-30,5.39,5.41,5.23,5.27,374300,5.27
115,2014-05-01,5.31,5.57,5.28,5.47,842800,5.47
116,2014-05-02,5.6,6.14,5.55,5.82,1128500,5.82
117,2014-05-05,5.77,5.98,5.55,5.86,326400,5.86
118,2014-05-06,5.85,6,5.81,5.9,436400,5.9
119,2014-05-07,5.88,5.88,5.45,5.47,662100,5.47
120,2014-05-08,5.41,5.64,5.37,5.4,400000,5.4
121,2014-05-09,5.37,5.47,5.16,5.21,584800,5.21
122,2014-05-12,5,5.35,4.82,5.31,1739800,5.31
123,2014-05-13,5.3,5.45,5.23,5.44,518500,5.44
124,2014-05-14,5.45,5.49,5.3,5.34,356500,5.34
125,2014-05-15,5.32,5.38,5.17,5.24,184700,5.24
126,2014-05-16,5.03,5.3,5,5.27,444700,5.27
127,2014-05-19,5.18,5.31,5.18,5.27,390400,5.27
128,2014-05-20,5.29,5.35,5.17,5.34,675800,5.34
129,2014-05-21,5.34,5.58,5.32,5.48,665300,5.48
130,2014-05-22,5.31,5.56,5.31,5.49,455000,5.49
131,2014-05-23,5.53,5.6,5.5,5.51,400900,5.51
132,2014-05-27,5.55,5.75,5.54,5.68,364400,5.68
133,2014-05-28,5.67,5.67,5.52,5.58,183000,5.58
134,2014-05-29,5.57,5.65,5.45,5.61,365700,5.61
135,2014-05-30,5.61,5.65,5.51,5.57,454000,5.57
136,2014-06-02,5.6,5.6,5.4,5.41,297000,5.41
137,2014-06-03,5.5,5.82,5.46,5.81,1104200,5.81
138,2014-06-04,5.82,5.98,5.63,5.89,509900,5.89
139,2014-06-05,5.89,6,5.82,6,447600,6
140,2014-06-06,6,6.3,5.95,6.28,675000,6.28
141,2014-06-09,6.3,6.8,6.26,6.77,894000,6.77
142,2014-06-10,6.77,7,6.59,6.63,1276600,6.63
143,2014-06-11,6.55,6.94,6.34,6.85,436200,6.85
144,2014-06-12,6.74,6.8,6.29,6.38,1050100,6.38
145,2014-06-13,6.41,6.48,6.15,6.37,486700,6.37
146,2014-06-16,6.4,7.32,6.4,7.3,1564900,7.3
147,2014-06-17,7.31,7.4,6.99,7.38,807300,7.38
148,2014-06-18,7.34,7.95,7.24,7.62,1158700,7.62
149,2014-06-19,7.63,7.81,7.4,7.6,718800,7.6
150,2014-06-20,7.6,7.77,7.49,7.72,1223800,7.72
151,2014-06-23,7.7,7.78,7.46,7.72,884300,7.72
152,2014-06-24,7.71,7.98,7.6,7.81,878800,7.81
153,2014-06-25,7.72,8.11,7.62,7.81,1873900,7.81
154,2014-06-26,7.78,7.95,6.58,7.26,2574800,7.26
155,2014-06-27,7.21,7.33,7,7.29,5144600,7.29
156,2014-06-30,7.29,7.29,6.65,7.04,1194400,7.04
157,2014-07-01,7.08,7.08,6.76,6.77,550000,6.77
158,2014-07-02,6.78,6.95,6.76,6.82,492800,6.82
159,2014-07-03,6.83,6.96,6.76,6.84,237600,6.84
160,2014-07-07,6.82,6.82,6.7,6.76,400100,6.76
161,2014-07-08,6.72,6.74,6.5,6.55,556100,6.55
162,2014-07-09,6.55,6.69,6.53,6.56,387700,6.56
163,2014-07-10,6.45,6.54,6.39,6.5,433200,6.5
164,2014-07-11,6.5,6.58,6.45,6.5,284400,6.5
165,2014-07-14,6.56,6.68,6.49,6.52,234300,6.52
166,2014-07-15,6.5,6.54,6.32,6.35,255500,6.35
167,2014-07-16,6.4,6.45,5.97,6.13,647600,6.13
168,2014-07-17,6.12,6.12,5.76,5.82,584100,5.82
169,2014-07-18,5.81,6.03,5.8,6.02,417500,6.02
170,2014-07-21,5.98,6.12,5.9,6.08,341200,6.08
171,2014-07-22,6.08,6.24,6.05,6.06,226200,6.06
172,2014-07-23,6.06,6.17,5.91,5.92,153100,5.92
173,2014-07-24,5.95,6.01,5.86,5.98,331500,5.98
174,2014-07-25,6,6.2,5.92,6.05,636900,6.05
175,2014-07-28,6.08,6.33,6.01,6.31,658100,6.31
176,2014-07-29,6.3,6.44,6.23,6.34,407900,6.34
177,2014-07-30,6.4,6.46,6.29,6.37,591800,6.37
178,2014-07-31,6.29,6.48,6.24,6.43,622100,6.43
179,2014-08-01,6.48,6.53,6.21,6.44,720400,6.44
180,2014-08-04,6.43,6.49,5.83,5.89,1435500,5.89
181,2014-08-05,6.73,7.46,6.56,7.1,3709500,7.1
182,2014-08-06,7.02,7.49,6.9,7.35,1527700,7.35
183,2014-08-07,7.34,7.35,7.06,7.15,584100,7.15
184,2014-08-08,7.09,7.17,7,7.03,301200,7.03
185,2014-08-11,7.01,7.27,7.01,7.12,496900,7.12
186,2014-08-12,7.1,7.13,6.82,6.84,318600,6.84
187,2014-08-13,6.9,7.23,6.88,7.03,379100,7.03
188,2014-08-14,7.02,7.11,6.91,6.93,188300,6.93
189,2014-08-15,7.01,7.31,6.99,7.18,606500,7.18
190,2014-08-18,7.24,7.4,7.1,7.33,691700,7.33
191,2014-08-19,7.32,7.39,7.22,7.36,338400,7.36
192,2014-08-20,7.32,7.32,6.84,6.98,586400,6.98
193,2014-08-21,6.95,7.04,6.82,6.97,279000,6.97
194,2014-08-22,6.95,6.99,6.78,6.85,478500,6.85
195,2014-08-25,6.89,7.07,6.86,6.98,270400,6.98
196,2014-08-26,6.99,7.02,6.76,6.87,374400,6.87
197,2014-08-27,6.9,6.94,6.72,6.84,293900,6.84
198,2014-08-28,6.84,6.92,6.75,6.8,327100,6.8
199,2014-08-29,6.84,6.91,6.78,6.91,325700,6.91
200,2014-09-02,6.94,6.98,6.56,6.74,693300,6.74
201,2014-09-03,6.75,6.84,6.29,6.49,695000,6.49
202,2014-09-04,6.52,6.71,6.52,6.65,284700,6.65
203,2014-09-05,6.61,6.8,6.51,6.78,200000,6.78
204,2014-09-08,6.77,6.91,6.67,6.87,287500,6.87
205,2014-09-09,6.85,6.88,6.59,6.61,275700,6.61
206,2014-09-10,6.61,6.72,6.53,6.62,366800,6.62
207,2014-09-11,6.57,6.83,6.57,6.76,243200,6.76
208,2014-09-12,6.77,6.79,6.54,6.58,272500,6.58
209,2014-09-15,6.56,6.58,6.36,6.4,547000,6.4
210,2014-09-16,6.4,6.68,6.4,6.49,339700,6.49
211,2014-09-17,6.5,6.67,6.49,6.58,256600,6.58
212,2014-09-18,6.59,6.63,6.46,6.58,332100,6.58
213,2014-09-19,6.58,6.7,6.45,6.48,960700,6.48
214,2014-09-22,6.45,6.45,6.04,6.15,542700,6.15
215,2014-09-23,6.13,6.24,6.05,6.09,554400,6.09
216,2014-09-24,6.11,6.33,6.07,6.25,280300,6.25
217,2014-09-25,6.24,6.24,6.08,6.14,331400,6.14
218,2014-09-26,6.15,6.18,6.1,6.15,177000,6.15
219,2014-09-29,6.1,6.34,6.1,6.33,430300,6.33
220,2014-09-30,6.31,6.35,6.12,6.24,545600,6.24
221,2014-10-01,6.24,6.26,6.12,6.17,436500,6.17
222,2014-10-02,6.18,6.35,6.18,6.25,525500,6.25
223,2014-10-03,6.32,6.45,6.28,6.4,465000,6.4
224,2014-10-06,6.42,6.5,6.25,6.28,589100,6.28
225,2014-10-07,6.23,6.25,6.1,6.1,683400,6.1
226,2014-10-08,6.09,6.21,6.09,6.14,706000,6.14
227,2014-10-09,6.14,6.2,5.92,5.99,933200,5.99
228,2014-10-10,5.92,6.02,5.7,5.76,610600,5.76
229,2014-10-13,5.77,5.88,5.53,5.76,555700,5.76
230,2014-10-14,5.81,6.03,5.76,5.98,449000,5.98
231,2014-10-15,5.86,6.43,5.8,6.43,508400,6.43
232,2014-10-16,6.33,6.5,6.23,6.37,517400,6.37
233,2014-10-17,6.46,6.46,6.04,6.05,252100,6.05
234,2014-10-20,6.01,6.19,6.01,6.11,157000,6.11
235,2014-10-21,6.15,6.15,5.94,6.01,329800,6.01
236,2014-10-22,6,6.11,5.88,5.89,246100,5.89
237,2014-10-23,5.96,6.05,5.8,5.83,297600,5.83
238,2014-10-24,5.84,6.23,5.84,6.15,517200,6.15
239,2014-10-27,6.14,6.17,5.95,6.07,267500,6.07
240,2014-10-28,6.11,6.34,6,6.26,417900,6.26
241,2014-10-29,6.27,6.28,6.06,6.12,241400,6.12
242,2014-10-30,6.09,6.32,6.03,6.3,627100,6.3
243,2014-10-31,6.44,6.7,6.32,6.65,545600,6.65
244,2014-11-03,6.69,6.69,6.5,6.57,408800,6.57
245,2014-11-04,6.35,6.37,6,6.32,942400,6.32
246,2014-11-05,6.34,6.69,6.27,6.66,592500,6.66
247,2014-11-06,6.6,6.79,6.57,6.75,566400,6.75
248,2014-11-07,6.75,6.81,6.64,6.72,403300,6.72
249,2014-11-10,6.71,7.08,6.68,6.93,868100,6.93
250,2014-11-11,6.92,7,6.83,6.99,258200,6.99
251,2014-11-12,6.96,6.99,6.78,6.93,575100,6.93
252,2014-11-13,6.96,6.99,6.74,6.86,264000,6.86
253,2014-11-14,6.9,6.94,6.75,6.9,168900,6.9
254,2014-11-17,6.9,7,6.54,6.58,302500,6.58
255,2014-11-18,6.58,6.72,6.54,6.68,214400,6.68
256,2014-11-19,6.64,6.72,6.41,6.44,247900,6.44
257,2014-11-20,6.4,6.63,6.37,6.56,187600,6.56
258,2014-11-21,6.7,6.78,6.62,6.76,292000,6.76
259,2014-11-24,6.77,6.85,6.65,6.81,224100,6.81
260,2014-11-25,6.8,6.84,6.7,6.8,342900,6.8
261,2014-11-26,6.76,6.94,6.76,6.9,184600,6.9
262,2014-11-28,6.94,6.94,6.76,6.76,175500,6.76
263,2014-12-01,6.75,6.82,6.37,6.38,362200,6.38
264,2014-12-02,6.4,6.51,6.31,6.49,428200,6.49
265,2014-12-03,6.48,6.57,6.31,6.35,388000,6.35
266,2014-12-04,6.37,6.46,6.31,6.45,160700,6.45
267,2014-12-05,6.45,6.63,6.39,6.41,385100,6.41
268,2014-12-08,6.35,6.47,6.2,6.22,296900,6.22
269,2014-12-09,6.14,6.5,6.14,6.5,319000,6.5
270,2014-12-10,6.48,6.59,6.44,6.48,217000,6.48
271,2014-12-11,6.5,6.6,6.45,6.47,193800,6.47
272,2014-12-12,6.37,6.49,6.34,6.41,179200,6.41
273,2014-12-15,6.42,6.51,6.4,6.44,237300,6.44
274,2014-12-16,6.45,6.53,6.36,6.36,205000,6.36
275,2014-12-17,6.35,6.6,6.34,6.6,574800,6.6
276,2014-12-18,6.7,6.75,6.59,6.6,235300,6.6
277,2014-12-19,6.56,6.61,6.55,6.61,701600,6.61
278,2014-12-22,6.63,6.91,6.57,6.91,454700,6.91
279,2014-12-23,6.95,7.04,6.91,6.99,388700,6.99
280,2014-12-24,7,7,6.85,6.91,116500,6.91
281,2014-12-26,6.9,7.05,6.87,7.01,166300,7.01
282,2014-12-29,7.02,7.05,6.86,6.99,190700,6.99
283,2014-12-30,6.99,7.01,6.87,6.88,142100,6.88
284,2014-12-31,6.9,7,6.88,6.91,288800,6.91
285,2015-01-02,6.95,7.03,6.8,7,372100,7
286,2015-01-05,6.96,7.06,6.62,6.79,517100,6.79
287,2015-01-06,6.8,6.9,6.49,6.83,329700,6.83
288,2015-01-07,6.84,6.89,6.67,6.87,251800,6.87
289,2015-01-08,6.94,7.05,6.85,7,359100,7
290,2015-01-09,6.99,7.25,6.98,7.09,472100,7.09
291,2015-01-12,7.14,7.2,6.9,7.05,334000,7.05
292,2015-01-13,7.09,7.19,6.75,6.84,269200,6.84
293,2015-01-14,6.75,7.08,6.7,7,258000,7
294,2015-01-15,7,7,6.53,6.69,361200,6.69
295,2015-01-16,6.64,6.8,6.62,6.71,218400,6.71
296,2015-01-20,6.7,6.72,6.61,6.66,233500,6.66
297,2015-01-21,6.6,6.71,6.52,6.6,275800,6.6
298,2015-01-22,6.65,7,6.6,6.99,251900,6.99
299,2015-01-23,7,7.21,6.89,7.13,275700,7.13
300,2015-01-26,7.1,7.16,6.97,7.01,121500,7.01
301,2015-01-27,6.94,7.25,6.83,7.1,511300,7.1
302,2015-01-28,7.11,7.17,6.7,6.76,479200,6.76
303,2015-01-29,6.8,6.8,6.62,6.66,302900,6.66
304,2015-01-30,6.61,6.77,6.61,6.63,273000,6.63
305,2015-02-02,6.64,6.7,6.5,6.59,219900,6.59
306,2015-02-03,6.64,6.74,6.5,6.73,295500,6.73
307,2015-02-04,6.7,6.87,6.65,6.76,172100,6.76
308,2015-02-05,6.77,6.84,6.69,6.73,152100,6.73
309,2015-02-06,6.71,6.8,6.6,6.7,195200,6.7
310,2015-02-09,6.67,6.8,6.65,6.69,266700,6.69
311,2015-02-10,6.75,6.75,6.41,6.62,272100,6.62
312,2015-02-11,6.6,6.69,6.46,6.49,155100,6.49
313,2015-02-12,6.53,6.65,6.47,6.5,171600,6.5
314,2015-02-13,6.5,6.54,6.35,6.44,348700,6.44
315,2015-02-17,6.47,6.6,6.4,6.52,216700,6.52
316,2015-02-18,6.55,6.64,6.49,6.51,266000,6.51
317,2015-02-19,6.51,6.7,6.45,6.61,336800,6.61
318,2015-02-20,6.6,6.61,6.4,6.44,371600,6.44
